route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
020-154,1411-Collier-Weekday-25,1-1243461,Outbound-KENNEDY TO HERBST ROAD,0,020 -012,0200037
024-154,1411-Collier-Weekday-25,1-1243356,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -058,0240135
026-154,1411-Collier-Weekday-25,1-1243300,Outbound-CHARTIERS-ALLENDALE CRAFTON-INGRAM SHOPPING CENTER,0,026 -067,0260032
026-154,1411-Collier-Weekday-25,1-1243450,Outbound-CHARTIERS-ALLENDALE CRAFTON-INGRAM SHOPPING CENTER,0,026 -074,0260032
027-154,1411-Collier-Weekday-25,1-1243307,Outbound-FAIRYWOOD CRAFTON-INGRAM SHOPPING CENTER,0,026 -076,0270023
029-154,1411-Collier-Weekday-25,1-1243252,Outbound-ROBINSON TO DOWNTOWN,0,029 -100,0290022
036-154,1411-Collier-Weekday-25,1-1243390,Outbound-BANKSVILLE SOUTH HILLS VILLAGE,0,036 -139,0360012
G31-154,1411-Collier-Weekday-25,1-1243444,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,039 -204,G310025
048-154,1411-Collier-Weekday-25,1-1243573,Outbound-ARLINGTON-SOUTH SIDE WORKS TO SOUTH HILLS JUNCTION,0,048 -273,0480093
039-154,1411-Collier-Weekday-25,1-1243420,Outbound-BROOKLINE,0,039 -199,0390033
G31-154,1411-Collier-Weekday-25,2-1243425,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,G31 -341,G310025
G31-154,1411-Collier-Weekday-25,3-1243443,Outbound-BRIDGEVILLE FLYER TO S FAYETTE PARK-AND-RIDE,0,G31 -343,G310025
039-154,1411-Collier-Weekday-25,4-1243416,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -184,0390028
039-154,1411-Collier-Weekday-25,6-1243415,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -185,0390028
039-154,1411-Collier-Weekday-25,7-1243405,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -186,0390028
039-154,1411-Collier-Weekday-25,8-1243397,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -187,0390028
039-154,1411-Collier-Weekday-25,18-1243357,Inbound-BROOKLINE TO DOWNTOWN-PENN STATION,1,039 -190,0390028
044-154,1411-Collier-Weekday-25,43-1243338,Outbound-KNOXVILLE TO ST CLAIR,0,044 -250,0440099
044-154,1411-Collier-Weekday-25,52-1243336,Outbound-KNOXVILLE TO ST CLAIR,0,044 -251,0440099
044-154,1411-Collier-Weekday-25,62-1243337,Outbound-KNOXVILLE TO ST CLAIR,0,044 -252,0440099
044-154,1411-Collier-Weekday-25,72-1243338,Outbound-KNOXVILLE TO ST CLAIR,0,044 -250,0440099
044-154,1411-Collier-Weekday-25,83-1243336,Outbound-KNOXVILLE TO ST CLAIR,0,044 -251,0440099
044-154,1411-Collier-Weekday-25,93-1243337,Outbound-KNOXVILLE TO ST CLAIR,0,044 -252,0440099
044-154,1411-Collier-Weekday-25,100-1243565,Outbound-KNOXVILLE TO ST CLAIR,0,044 -253,0440099
044-154,1411-Collier-Weekday-25,106-1243523,Outbound-KNOXVILLE TO ST CLAIR,0,044 -254,0440099
044-154,1411-Collier-Weekday-25,112-1243490,Outbound-KNOXVILLE TO ST CLAIR,0,044 -255,0440099
044-154,1411-Collier-Weekday-25,118-1243565,Outbound-KNOXVILLE TO ST CLAIR,0,044 -253,0440099
044-154,1411-Collier-Weekday-25,124-1243523,Outbound-KNOXVILLE TO ST CLAIR,0,044 -254,0440099
044-154,1411-Collier-Weekday-25,130-1243490,Outbound-KNOXVILLE TO ST CLAIR,0,044 -255,0440099
044-154,1411-Collier-Weekday-25,136-1243565,Outbound-KNOXVILLE TO ST CLAIR,0,044 -253,0440099
044-154,1411-Collier-Weekday-25,142-1243524,Outbound-KNOXVILLE TO ST CLAIR,0,044 -256,0440099
044-154,1411-Collier-Weekday-25,148-1243491,Outbound-KNOXVILLE TO ST CLAIR,0,044 -257,0440099
044-154,1411-Collier-Weekday-25,160-1243527,Outbound-KNOXVILLE TO ST CLAIR,0,044 -258,0440099
044-154,1411-Collier-Weekday-25,166-1243524,Outbound-KNOXVILLE TO ST CLAIR,0,044 -256,0440099
044-154,1411-Collier-Weekday-25,172-1243491,Outbound-KNOXVILLE TO ST CLAIR,0,044 -257,0440099
044-154,1411-Collier-Weekday-25,181-1243529,Outbound-KNOXVILLE TO ST CLAIR,0,044 -259,0440099
044-154,1411-Collier-Weekday-25,191-1243567,Outbound-KNOXVILLE TO ST CLAIR,0,044 -260,0440099
044-154,1411-Collier-Weekday-25,202-1243566,Outbound-KNOXVILLE TO ST CLAIR,0,044 -261,0440099
044-154,1411-Collier-Weekday-25,214-1243529,Outbound-KNOXVILLE TO ST CLAIR,0,044 -259,0440099
044-154,1411-Collier-Weekday-25,225-1243567,Outbound-KNOXVILLE TO ST CLAIR,0,044 -260,0440099
044-154,1411-Collier-Weekday-25,235-1243566,Outbound-KNOXVILLE TO ST CLAIR,0,044 -261,0440099
044-154,1411-Collier-Weekday-25,242-1243529,Outbound-KNOXVILLE TO ST CLAIR,0,044 -259,0440099
044-154,1411-Collier-Weekday-25,248-1243567,Outbound-KNOXVILLE TO ST CLAIR,0,044 -260,0440099
044-154,1411-Collier-Weekday-25,1002-1243338,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -250,0440112
044-154,1411-Collier-Weekday-25,1003-1243336,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -251,0440112
044-154,1411-Collier-Weekday-25,1005-1243337,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -252,0440112
044-154,1411-Collier-Weekday-25,1007-1243338,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -250,0440112
044-154,1411-Collier-Weekday-25,1008-1243336,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -251,0440112
044-154,1411-Collier-Weekday-25,1009-1243337,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -252,0440112
044-154,1411-Collier-Weekday-25,1010-1243338,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -250,0440112
044-154,1411-Collier-Weekday-25,1011-1243336,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -251,0440112
044-154,1411-Collier-Weekday-25,1012-1243337,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -252,0440112
044-154,1411-Collier-Weekday-25,1013-1243565,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -253,0440112
044-154,1411-Collier-Weekday-25,1014-1243523,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -254,0440112
044-154,1411-Collier-Weekday-25,1015-1243490,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -255,0440112
044-154,1411-Collier-Weekday-25,1016-1243565,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -253,0440112
044-154,1411-Collier-Weekday-25,1017-1243523,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -254,0440112
044-154,1411-Collier-Weekday-25,1018-1243490,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -255,0440112
044-154,1411-Collier-Weekday-25,1019-1243565,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -253,0440112
044-154,1411-Collier-Weekday-25,1020-1243524,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -256,0440112
044-154,1411-Collier-Weekday-25,1021-1243491,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -257,0440112
044-154,1411-Collier-Weekday-25,1022-1243527,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -258,0440112
044-154,1411-Collier-Weekday-25,1023-1243524,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -256,0440112
044-154,1411-Collier-Weekday-25,1024-1243491,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -257,0440112
044-154,1411-Collier-Weekday-25,1025-1243529,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -259,0440112
044-154,1411-Collier-Weekday-25,1026-1243567,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -260,0440112
044-154,1411-Collier-Weekday-25,1027-1243566,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -261,0440112
044-154,1411-Collier-Weekday-25,1028-1243529,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -259,0440112
044-154,1411-Collier-Weekday-25,1029-1243567,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -260,0440112
044-154,1411-Collier-Weekday-25,1030-1243475,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -264,0440112
044-154,1411-Collier-Weekday-25,1031-1243566,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -261,0440112
044-154,1411-Collier-Weekday-25,1059-1243567,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -260,0440112
044-154,1411-Collier-Weekday-25,1060-1243566,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -261,0440112
044-154,1411-Collier-Weekday-25,1062-1243570,Inbound-KNOXVILLE TO DOWNTOWN-PENN STATION,1,044 -263,0440112
044-154,1411-Collier-Weekday-25,1203-1243566,Outbound-KNOXVILLE TO ST CLAIR,0,044 -261,0440099
044-154,1411-Collier-Weekday-25,1204-1243474,Outbound-KNOXVILLE TO ST CLAIR,0,044 -262,0440099
044-154,1411-Collier-Weekday-25,1205-1243570,Outbound-KNOXVILLE TO ST CLAIR,0,044 -263,0440099
044-154,1411-Collier-Weekday-25,1206-1243475,Outbound-KNOXVILLE TO ST CLAIR,0,044 -264,0440099
044-154,1411-Collier-Weekday-25,1208-1243475,Outbound-KNOXVILLE TO ST CLAIR,0,044 -264,0440099
020-154,1411-Collier-Weekday-25,26341-1243317,Inbound-KENNEDY TO DOWNTOWN,1,020 -001,0200036
020-154,1411-Collier-Weekday-25,26342-1243320,Inbound-KENNEDY TO DOWNTOWN,1,020 -003,0200036
020-154,1411-Collier-Weekday-25,26343-1243323,Inbound-KENNEDY TO DOWNTOWN,1,020 -004,0200036
020-154,1411-Collier-Weekday-25,26344-1243343,Inbound-KENNEDY TO DOWNTOWN,1,020 -005,0200036
020-154,1411-Collier-Weekday-25,26345-1243318,Inbound-KENNEDY TO DOWNTOWN,1,020 -002,0200036
020-154,1411-Collier-Weekday-25,26346-1243320,Inbound-KENNEDY TO DOWNTOWN,1,020 -003,0200036
020-154,1411-Collier-Weekday-25,26347-1243323,Inbound-KENNEDY TO DOWNTOWN,1,020 -004,0200036
020-154,1411-Collier-Weekday-25,26348-1243453,Inbound-KENNEDY TO DOWNTOWN,1,020 -006,0200036
020-154,1411-Collier-Weekday-25,26349-1243326,Inbound-KENNEDY TO DOWNTOWN,1,020 -007,0200036
020-154,1411-Collier-Weekday-25,26350-1243458,Inbound-KENNEDY TO DOWNTOWN,1,020 -009,0200036
020-154,1411-Collier-Weekday-25,26351-1243348,Inbound-KENNEDY TO DOWNTOWN,1,020 -008,0200036
020-154,1411-Collier-Weekday-25,26352-1243349,Inbound-KENNEDY TO DOWNTOWN,1,020 -010,0200036
020-154,1411-Collier-Weekday-25,26353-1243494,Inbound-KENNEDY TO DOWNTOWN,1,020 -011,0200036
020-154,1411-Collier-Weekday-25,26354-1243346,Inbound-KENNEDY TO DOWNTOWN,1,024 -059,0200036
020-154,1411-Collier-Weekday-25,26355-1243538,Inbound-KENNEDY TO DOWNTOWN,1,020 -014,0200036
020-154,1411-Collier-Weekday-25,26356-1243461,Inbound-KENNEDY TO DOWNTOWN,1,020 -012,0200036
020-154,1411-Collier-Weekday-25,26357-1243454,Inbound-KENNEDY TO DOWNTOWN,1,020 -015,0200036
020-154,1411-Collier-Weekday-25,26358-1243344,Inbound-KENNEDY TO DOWNTOWN,1,020 -013,0200036
020-154,1411-Collier-Weekday-25,26359-1243447,Inbound-KENNEDY TO DOWNTOWN,1,022 -045,0200036
020-154,1411-Collier-Weekday-25,26360-1243327,Inbound-KENNEDY TO DOWNTOWN,1,022 -044,0200036
020-154,1411-Collier-Weekday-25,26361-1243539,Inbound-KENNEDY TO DOWNTOWN,1,020 -016,0200036
020-154,1411-Collier-Weekday-25,26362-1243317,Outbound-KENNEDY TO HERBST ROAD,0,020 -001,0200037
020-154,1411-Collier-Weekday-25,26363-1243320,Outbound-KENNEDY TO HERBST ROAD,0,020 -003,0200037
020-154,1411-Collier-Weekday-25,26364-1243323,Outbound-KENNEDY TO HERBST ROAD,0,020 -004,0200037
020-154,1411-Collier-Weekday-25,26365-1243343,Outbound-KENNEDY TO HERBST ROAD,0,020 -005,0200037
020-154,1411-Collier-Weekday-25,26366-1243318,Outbound-KENNEDY TO HERBST ROAD,0,020 -002,0200037
020-154,1411-Collier-Weekday-25,26367-1243320,Outbound-KENNEDY TO HERBST ROAD,0,020 -003,0200037
020-154,1411-Collier-Weekday-25,26368-1243323,Outbound-KENNEDY TO HERBST ROAD,0,020 -004,0200037
020-154,1411-Collier-Weekday-25,26369-1243453,Outbound-KENNEDY TO HERBST ROAD,0,020 -006,0200037
020-154,1411-Collier-Weekday-25,26370-1243326,Outbound-KENNEDY TO HERBST ROAD,0,020 -007,0200037
020-154,1411-Collier-Weekday-25,26371-1243458,Outbound-KENNEDY TO HERBST ROAD,0,020 -009,0200037
020-154,1411-Collier-Weekday-25,26372-1243348,Outbound-KENNEDY TO HERBST ROAD,0,020 -008,0200037
020-154,1411-Collier-Weekday-25,26373-1243349,Outbound-KENNEDY TO HERBST ROAD,0,020 -010,0200037
020-154,1411-Collier-Weekday-25,26374-1243494,Outbound-KENNEDY TO HERBST ROAD,0,020 -011,0200037
020-154,1411-Collier-Weekday-25,26375-1243346,Outbound-KENNEDY TO HERBST ROAD,0,024 -059,0200037
020-154,1411-Collier-Weekday-25,26376-1243538,Outbound-KENNEDY TO HERBST ROAD,0,020 -014,0200037
020-154,1411-Collier-Weekday-25,26378-1243454,Outbound-KENNEDY TO HERBST ROAD,0,020 -015,0200037
020-154,1411-Collier-Weekday-25,26379-1243344,Outbound-KENNEDY TO HERBST ROAD,0,020 -013,0200037
020-154,1411-Collier-Weekday-25,26380-1243447,Outbound-KENNEDY TO HERBST ROAD,0,022 -045,0200037
020-154,1411-Collier-Weekday-25,26381-1243327,Outbound-KENNEDY TO HERBST ROAD,0,022 -044,0200037
020-154,1411-Collier-Weekday-25,26382-1243539,Outbound-KENNEDY TO HERBST ROAD,0,020 -016,0200037
021-154,1411-Collier-Weekday-25,26383-1243313,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -017,0210037
021-154,1411-Collier-Weekday-25,26384-1243315,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -018,0210037
021-154,1411-Collier-Weekday-25,26385-1243308,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -019,0210037
021-154,1411-Collier-Weekday-25,26386-1243309,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -020,0210037
021-154,1411-Collier-Weekday-25,26387-1243314,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -021,0210037
021-154,1411-Collier-Weekday-25,26388-1243312,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -022,0210037
021-154,1411-Collier-Weekday-25,26389-1243340,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -023,0210037
021-154,1411-Collier-Weekday-25,26390-1243313,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -017,0210037
021-154,1411-Collier-Weekday-25,26391-1243315,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -018,0210037
021-154,1411-Collier-Weekday-25,26392-1243308,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -019,0210037
021-154,1411-Collier-Weekday-25,26393-1243465,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -024,0210037
021-154,1411-Collier-Weekday-25,26394-1243467,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -025,0210037
021-154,1411-Collier-Weekday-25,26395-1243465,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -024,0210037
021-154,1411-Collier-Weekday-25,26396-1243501,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -026,0210037
021-154,1411-Collier-Weekday-25,26397-1243466,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -027,0210037
021-154,1411-Collier-Weekday-25,26398-1243352,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -028,0210037
021-154,1411-Collier-Weekday-25,26399-1243473,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -029,0210037
021-154,1411-Collier-Weekday-25,26400-1243310,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -030,0210037
021-154,1411-Collier-Weekday-25,26401-1243353,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -031,0210037
021-154,1411-Collier-Weekday-25,26402-1243469,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -032,0210037
021-154,1411-Collier-Weekday-25,26403-1243311,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -033,0210037
021-154,1411-Collier-Weekday-25,26404-1243350,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -034,0210037
021-154,1411-Collier-Weekday-25,26405-1243352,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -028,0210037
021-154,1411-Collier-Weekday-25,26406-1243473,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -029,0210037
021-154,1411-Collier-Weekday-25,26407-1243310,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -030,0210037
021-154,1411-Collier-Weekday-25,26408-1243353,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -031,0210037
021-154,1411-Collier-Weekday-25,26409-1243469,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -032,0210037
021-154,1411-Collier-Weekday-25,26410-1243350,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -034,0210037
021-154,1411-Collier-Weekday-25,26411-1243476,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -035,0210037
021-154,1411-Collier-Weekday-25,26412-1243478,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -036,0210037
021-154,1411-Collier-Weekday-25,26413-1243518,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -037,0210037
021-154,1411-Collier-Weekday-25,26414-1243569,Inbound-CORAOPOLIS TO DOWNTOWN,1,021 -038,0210037
021-154,1411-Collier-Weekday-25,26415-1243313,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -017,0210036
021-154,1411-Collier-Weekday-25,26416-1243315,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -018,0210036
021-154,1411-Collier-Weekday-25,26417-1243308,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -019,0210036
021-154,1411-Collier-Weekday-25,26418-1243309,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -020,0210036
021-154,1411-Collier-Weekday-25,26419-1243314,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -021,0210036
021-154,1411-Collier-Weekday-25,26420-1243312,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -022,0210036
021-154,1411-Collier-Weekday-25,26422-1243313,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -017,0210036
021-154,1411-Collier-Weekday-25,26424-1243308,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -019,0210036
021-154,1411-Collier-Weekday-25,26425-1243465,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -024,0210036
021-154,1411-Collier-Weekday-25,26426-1243467,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -025,0210036
021-154,1411-Collier-Weekday-25,26427-1243465,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -024,0210036
021-154,1411-Collier-Weekday-25,26428-1243501,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -026,0210036
021-154,1411-Collier-Weekday-25,26429-1243466,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -027,0210036
021-154,1411-Collier-Weekday-25,26430-1243352,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -028,0210036
021-154,1411-Collier-Weekday-25,26431-1243473,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -029,0210036
021-154,1411-Collier-Weekday-25,26432-1243310,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -030,0210036
021-154,1411-Collier-Weekday-25,26433-1243353,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -031,0210036
021-154,1411-Collier-Weekday-25,26434-1243469,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -032,0210036
021-154,1411-Collier-Weekday-25,26435-1243311,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -033,0210036
021-154,1411-Collier-Weekday-25,26436-1243350,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -034,0210036
021-154,1411-Collier-Weekday-25,26437-1243352,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -028,0210036
021-154,1411-Collier-Weekday-25,26438-1243473,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -029,0210036
021-154,1411-Collier-Weekday-25,26439-1243310,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -030,0210036
021-154,1411-Collier-Weekday-25,26440-1243353,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -031,0210036
021-154,1411-Collier-Weekday-25,26441-1243469,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -032,0210036
021-154,1411-Collier-Weekday-25,26442-1243350,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -034,0210036
021-154,1411-Collier-Weekday-25,26443-1243476,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -035,0210036
021-154,1411-Collier-Weekday-25,26444-1243478,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -036,0210036
021-154,1411-Collier-Weekday-25,26445-1243518,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -037,0210036
021-154,1411-Collier-Weekday-25,26446-1243569,Outbound-CORAOPOLIS TO SEWICKLEY,0,021 -038,0210036
024-154,1411-Collier-Weekday-25,26447-1243316,Inbound-WEST PARK TO DOWNTOWN,1,024 -049,0240133
024-154,1411-Collier-Weekday-25,26448-1243319,Inbound-WEST PARK TO DOWNTOWN,1,024 -050,0240133
024-154,1411-Collier-Weekday-25,26449-1243322,Inbound-WEST PARK TO DOWNTOWN,1,024 -051,0240133
024-154,1411-Collier-Weekday-25,26450-1243324,Inbound-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -052,0240132
024-154,1411-Collier-Weekday-25,26451-1243342,Inbound-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -053,0240132
024-154,1411-Collier-Weekday-25,26452-1243316,Inbound-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -049,0240132
024-154,1411-Collier-Weekday-25,26453-1243319,Inbound-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -050,0240132
024-154,1411-Collier-Weekday-25,26454-1243322,Inbound-WEST PARK-PICKFORD TO DOWNTOWN,1,024 -051,0240132
024-154,1411-Collier-Weekday-25,26455-1243324,Inbound-WEST PARK TO DOWNTOWN,1,024 -052,0240133
024-154,1411-Collier-Weekday-25,26456-1243323,Inbound-WEST PARK DOWNTOWN,1,020 -004,0240131
024-154,1411-Collier-Weekday-25,26457-1243355,Inbound-WEST PARK TO DOWNTOWN,1,024 -054,0240133
024-154,1411-Collier-Weekday-25,26458-1243348,Inbound-WEST PARK DOWNTOWN,1,020 -008,0240131
024-154,1411-Collier-Weekday-25,26459-1243486,Inbound-WEST PARK TO DOWNTOWN,1,024 -055,0240133
024-154,1411-Collier-Weekday-25,26460-1243349,Inbound-WEST PARK DOWNTOWN,1,020 -010,0240131
024-154,1411-Collier-Weekday-25,26461-1243355,Inbound-WEST PARK TO DOWNTOWN,1,024 -054,0240133
024-154,1411-Collier-Weekday-25,26462-1243345,Inbound-WEST PARK DOWNTOWN,1,024 -057,0240131
024-154,1411-Collier-Weekday-25,26463-1243354,Inbound-WEST PARK TO DOWNTOWN,1,024 -056,0240133
024-154,1411-Collier-Weekday-25,26464-1243346,Inbound-WEST PARK DOWNTOWN,1,024 -059,0240131
024-154,1411-Collier-Weekday-25,26465-1243356,Inbound-WEST PARK TO DOWNTOWN,1,024 -058,0240133
024-154,1411-Collier-Weekday-25,26466-1243516,Inbound-WEST PARK DOWNTOWN,1,024 -061,0240131
024-154,1411-Collier-Weekday-25,26467-1243347,Inbound-WEST PARK TO DOWNTOWN,1,024 -060,0240133
024-154,1411-Collier-Weekday-25,26468-1243494,Inbound-WEST PARK DOWNTOWN,1,020 -011,0240131
024-154,1411-Collier-Weekday-25,26469-1243341,Inbound-WEST PARK TO DOWNTOWN,1,024 -062,0240133
024-154,1411-Collier-Weekday-25,26470-1243346,Inbound-WEST PARK DOWNTOWN,1,024 -059,0240131
024-154,1411-Collier-Weekday-25,26471-1243339,Inbound-WEST PARK TO DOWNTOWN,1,024 -063,0240133
024-154,1411-Collier-Weekday-25,26472-1243461,Inbound-WEST PARK DOWNTOWN,1,020 -012,0240131
024-154,1411-Collier-Weekday-25,26474-1243329,Inbound-WEST PARK TO DOWNTOWN,1,024 -064,0240133
024-154,1411-Collier-Weekday-25,26476-1243339,Inbound-WEST PARK TO DOWNTOWN,1,024 -063,0240133
024-154,1411-Collier-Weekday-25,26478-1243329,Inbound-WEST PARK TO DOWNTOWN,1,024 -064,0240133
024-154,1411-Collier-Weekday-25,26480-1243489,Inbound-WEST PARK TO DOWNTOWN,1,024 -065,0240133
024-154,1411-Collier-Weekday-25,26481-1243316,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -049,0240135
024-154,1411-Collier-Weekday-25,26482-1243319,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -050,0240135
024-154,1411-Collier-Weekday-25,26483-1243322,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -051,0240135
024-154,1411-Collier-Weekday-25,26484-1243324,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -052,0240135
024-154,1411-Collier-Weekday-25,26485-1243342,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -053,0240135
024-154,1411-Collier-Weekday-25,26486-1243316,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -049,0240135
024-154,1411-Collier-Weekday-25,26487-1243319,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -050,0240135
024-154,1411-Collier-Weekday-25,26488-1243322,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -051,0240135
024-154,1411-Collier-Weekday-25,26489-1243324,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -052,0240135
024-154,1411-Collier-Weekday-25,26490-1243323,Outbound-WEST PARK TO KENNEDY CENTER,0,020 -004,0240126
024-154,1411-Collier-Weekday-25,26491-1243355,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -054,0240135
024-154,1411-Collier-Weekday-25,26492-1243348,Outbound-WEST PARK TO KENNEDY CENTER,0,020 -008,0240126
024-154,1411-Collier-Weekday-25,26493-1243486,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -055,0240135
024-154,1411-Collier-Weekday-25,26494-1243349,Outbound-WEST PARK TO KENNEDY CENTER,0,020 -010,0240126
024-154,1411-Collier-Weekday-25,26495-1243355,Outbound-WEST PARK TO MALL AT ROBINSON,0,024 -054,0240135
024-154,1411-Collier-Weekday-25,26496-1243345,Outbound-WEST PARK TO KENNEDY CENTER,0,024 -057,0240126
